CommitID,FileName,FileComplexity,FileTokenCount,FileMethodNum,CommitComplexity,CommitTokenCount,CommitMethodNum,LastFileComplexity,LastFileTokenCount,LastFileMethodNum,LastCommitComplexity,LastCommitTokenCount,LastCommitMethodNum
e048893ec04a250fcb50853d6b47594fa81b0ea2,/,0,0,0,0,0,0,0,0,0,0,0,0
bbc3fdc9973cf02256539a794b617c9b0da5b81f,zookeeper/java/src/com/yahoo/zookeeper/server/quorum/QuorumPeer.java,71,2265,8,71,2265,8,69,2249,8,69,2249,8
3eed1f68e7fcf50b54e67afff46c205c7762da7e,zookeeper/java/src/com/yahoo/zookeeper/server/ZooKeeperServer.java,111,3749,43,111,3749,43,107,3622,41,107,3622,41
03b424d305d37caffb28dcb35122380c83d953d3,zookeeper/java/src/com/yahoo/zookeeper/server/PurgeTxnLog.java,11,395,2,11,395,2,0,0,0,0,0,0
2cc64f54fdf857437ac7325639afdb67bbfb0388,zookeeper/test/com/yahoo/zookeeper/test/AsyncTest.java,26,1294,15,265,12421,77,0,0,0,0,0,0
,zookeeper/test/com/yahoo/zookeeper/test/ClientTest.java,35,2172,11,,,,0,0,0,,,
,zookeeper/test/com/yahoo/zookeeper/test/CreateHammerTest.java,6,272,2,,,,0,0,0,,,
,zookeeper/test/com/yahoo/zookeeper/test/GenerateLoad.java,80,2713,23,,,,0,0,0,,,
,zookeeper/test/com/yahoo/zookeeper/test/OOMTest.java,16,883,6,,,,0,0,0,,,
,zookeeper/test/com/yahoo/zookeeper/test/QuorumTest.java,3,737,3,,,,0,0,0,,,
,zookeeper/test/com/yahoo/zookeeper/test/RecoveryTest.java,11,845,2,,,,0,0,0,,,
,zookeeper/test/com/yahoo/zookeeper/test/SessionTest.java,3,466,2,,,,0,0,0,,,
,zookeeper/test/com/yahoo/zookeeper/test/SledgeHammer.java,13,551,4,,,,0,0,0,,,
,zookeeper/test/com/yahoo/zookeeper/test/ZooKeeperTestClient.java,72,2488,9,,,,0,0,0,,,
11d2d6fd92acf9abc762c41e0f7b91c5acc89f4f,zookeeper/java/src/com/yahoo/zookeeper/server/quorum/FollowerZooKeeperServer.java,17,653,10,93,3173,23,17,647,10,93,3159,23
,zookeeper/java/src/com/yahoo/zookeeper/server/quorum/LeaderZooKeeperServer.java,5,253,5,,,,5,247,5,,,
,zookeeper/java/src/com/yahoo/zookeeper/server/quorum/QuorumPeer.java,71,2267,8,,,,71,2265,8,,,
1d2cb51508281a281bc47d6bf93fbf264cc20540,/,0,0,0,0,0,0,0,0,0,0,0,0
fce72e5323cccbacd9f1a0dadc7dbd58a2899771,/,0,0,0,0,0,0,0,0,0,0,0,0
a1c481ceca909e32ec49ff9738b5355eb1c367a7,zookeeper/test/com/yahoo/zookeeper/test/TestHammer.java,6,263,2,6,263,2,6,272,2,6,272,2
18a282789c4723e3c2a41960174ea55594e43d7a,zookeeper/java/src/com/yahoo/zookeeper/server/quorum/FollowerHandler.java,46,1515,9,46,1515,9,46,1511,9,46,1511,9
7563bfe9f8caa1a3acdedb32db9e7af7aa3c76ae,/,0,0,0,0,0,0,0,0,0,0,0,0
925c425a73910bab9e40bc044329136379adadaa,zookeeper/java/src/com/yahoo/zookeeper/server/DataTree.java,68,2804,23,123,4802,45,68,2799,23,123,4794,45
,zookeeper/java/src/com/yahoo/zookeeper/server/ZooLog.java,55,1998,22,,,,55,1995,22,,,
50d018f409aa2b47c47e5c219e09e17b9d5ad501,/,0,0,0,0,0,0,0,0,0,0,0,0
7beb7dad9505746944744c20dbabca0b46d76585,zookeeper/java/src/com/yahoo/jute/compiler/JRecord.java,63,3987,19,63,3987,19,63,3973,19,63,3973,19
87be48dc97ad6e6a0e49d6b665df56d4f86b6808,/,0,0,0,0,0,0,0,0,0,0,0,0
ca3993e5b10ed20ddfe04d0c57c2fb149223804b,/,0,0,0,0,0,0,0,0,0,0,0,0
667c6c4bb85800feb0f31037ee3eb9a36043f79a,/,0,0,0,0,0,0,0,0,0,0,0,0
b07de9a00b2e2bdb0f839c467181657fdee942af,/,0,0,0,0,0,0,0,0,0,0,0,0
9cb5cf3a21c6185727044e9d5ba52feba0da0973,/,0,0,0,0,0,0,0,0,0,0,0,0
c67fef7ea93c505bdf94096fb852da87f4fb2c50,/,0,0,0,0,0,0,0,0,0,0,0,0
9201659e2882da8eda910cd3449e14fd9d7d31bd,/,0,0,0,0,0,0,0,0,0,0,0,0
992946b900b3b4cbaf1cf9a77555b57413d64b76,/,0,0,0,0,0,0,0,0,0,0,0,0
771116b87df2b83f6923a997d064f006422a3adb,/,0,0,0,0,0,0,0,0,0,0,0,0
e6a03538f9b7b88d5e0523882c26de0a05b0f801,/,0,0,0,0,0,0,0,0,0,0,0,0
6c1b271c933c53a882e84cd9317f2dbf5d78bdfa,/,0,0,0,0,0,0,0,0,0,0,0,0
2d61e7ebf2a75e227a140644357a073fe758ddbf,/,0,0,0,0,0,0,0,0,0,0,0,0
efa6ab6e89270f43355066c2bfd9343a02cb5a27,/,0,0,0,0,0,0,0,0,0,0,0,0
1061ac279cd4785951219c1c1631c4156de913fc,zookeeper/java/src/com/yahoo/jute/compiler/CGenerator.java,4,324,2,71,4398,25,4,317,2,71,4391,25
,zookeeper/java/src/com/yahoo/jute/compiler/JBoolean.java,4,87,4,,,,4,87,4,,,
,zookeeper/java/src/com/yahoo/jute/compiler/JRecord.java,63,3987,19,,,,63,3987,19,,,
21d54c374dc24a4128d468a2bdecd30eb94bf4be,/,0,0,0,0,0,0,0,0,0,0,0,0
df25a810ee7ff41509965102e1475fc353ecb012,/,0,0,0,0,0,0,0,0,0,0,0,0
3347bf0ddf0598c16f954470d786b2101f64a472,/,0,0,0,0,0,0,0,0,0,0,0,0
b0df85d1f1e26bfaced8a003a6b09bede5867a9f,/,0,0,0,0,0,0,0,0,0,0,0,0
2a447187b125e3226dbaccd29e974c887db1ee7a,/,0,0,0,0,0,0,0,0,0,0,0,0
c62c6d2aba9b97ccc1588ae933d4e7021010a50c,/,0,0,0,0,0,0,0,0,0,0,0,0
7dc0c2249281c9c7361b25276f91685016e453b0,/,0,0,0,0,0,0,0,0,0,0,0,0
4e7258d6e3d8e93605893546d337f0586e7a149d,/,0,0,0,0,0,0,0,0,0,0,0,0
4d96d937fd834e30dfb182f483efffdeb26b828a,/,0,0,0,0,0,0,0,0,0,0,0,0
e655cad3c57b98be9ccd5645a712ff5a57dc0480,zookeeper/java/src/com/yahoo/zookeeper/ZooKeeper.java,98,3946,36,210,8178,76,98,3948,36,210,8218,76
,zookeeper/test/com/yahoo/zookeeper/test/AsyncTest.java,26,1288,15,,,,26,1294,15,,,
,zookeeper/test/com/yahoo/zookeeper/test/GenerateLoad.java,80,2683,23,,,,80,2713,23,,,
,zookeeper/test/com/yahoo/zookeeper/test/TestHammer.java,6,261,2,,,,6,263,2,,,
70cc907a3e23252eec852c5473c80873e27da9f4,/,0,0,0,0,0,0,0,0,0,0,0,0
4594025287271b5057b992da66291a6faac8ec7a,/,0,0,0,0,0,0,0,0,0,0,0,0
4729a9eefad0d9c5ed4d4f69cbee38d393fbb40f,/,0,0,0,0,0,0,0,0,0,0,0,0
16801baebba047544af01682beda5c86de6e9fc7,/,0,0,0,0,0,0,0,0,0,0,0,0
8bf848da45f9b337461e6114c2a4dce204b5b25b,/,0,0,0,0,0,0,0,0,0,0,0,0
32a39726ce62aa1f73913d499aa03c86bf868bed,/,0,0,0,0,0,0,0,0,0,0,0,0
db09d03ec03761e3e0715e6478daf1fe771f8b7a,/,0,0,0,0,0,0,0,0,0,0,0,0
e98264c167bb375aba379ed2090aa6dcb4caf407,/,0,0,0,0,0,0,0,0,0,0,0,0
d8ba75f2190f83118116c29f17dac29cf79927ec,/,0,0,0,0,0,0,0,0,0,0,0,0
8ee17324ceb0fd0ace7d87c3bd095ee20c0466aa,zookeeper/java/src/com/yahoo/zookeeper/ZooDefs.java,0,397,0,474,16800,113,0,390,0,455,16111,108
,zookeeper/java/src/com/yahoo/zookeeper/ZooKeeper.java,99,4065,37,,,,98,3946,36,,,
,zookeeper/java/src/com/yahoo/zookeeper/server/FinalRequestProcessor.java,38,1487,3,,,,37,1427,3,,,
,zookeeper/java/src/com/yahoo/zookeeper/server/PrepRequestProcessor.java,88,2854,9,,,,87,2838,9,,,
,zookeeper/java/src/com/yahoo/zookeeper/server/Request.java,35,644,4,,,,33,631,4,,,
,zookeeper/java/src/com/yahoo/zookeeper/server/quorum/CommitProcessor.java,30,614,5,,,,29,582,5,,,
,zookeeper/java/src/com/yahoo/zookeeper/server/quorum/Follower.java,34,1684,8,,,,33,1658,8,,,
,zookeeper/java/src/com/yahoo/zookeeper/server/quorum/FollowerHandler.java,47,1553,9,,,,46,1515,9,,,
,zookeeper/java/src/com/yahoo/zookeeper/server/quorum/FollowerRequestProcessor.java,15,319,4,,,,14,314,4,,,
,zookeeper/java/src/com/yahoo/zookeeper/server/quorum/FollowerZooKeeperServer.java,19,696,11,,,,17,653,10,,,
,zookeeper/java/src/com/yahoo/zookeeper/server/quorum/Leader.java,58,2091,17,,,,53,1855,14,,,
,zookeeper/java/src/com/yahoo/zookeeper/server/quorum/ProposalRequestProcessor.java,6,236,3,,,,4,165,3,,,
,zookeeper/java/src/com/yahoo/zookeeper/server/quorum/SendAckRequestProcessor.java,5,160,3,,,,4,137,3,,,
e77adca71ac461a1c3ea2fd3fec362592d302294,/,0,0,0,0,0,0,0,0,0,0,0,0
b1dcfbc2c4f7c43691627151dd04e0b49c2b5b49,zookeeper/test/com/yahoo/zookeeper/test/QuorumTest.java,3,737,3,3,737,3,3,737,3,3,737,3
