Commit ID,Issue Name,Issue Type
6b36c59a93b9963b7a9797f3f7fec25284f7af96,ATLAS-4732,Unknown
a2e05cdb9319f22876e761200c006a1e7ab09437,ATLAS-4799,Unknown
4c0b47a476c563c4243e491e31d1da2fc04133c4,ATLAS-4793,Unknown
33a2a55899109e2ebe82766d4ba1f3fd82962610,ATLAS-4783,Unknown
3786524112d02951ac6a059085d303de2649e835,ATLAS-4795,Unknown
dc5db3b6c1cf1929543d7c64c5b0d7d986f1cdd9,ATLAS-4794,Unknown
d67cd509e5c8f9779026bcf992549a1901c92229,ATLAS-4792,Unknown
f6697507e9607b2e4bd9840b1349b474c2525f43,/,/
adf3006b9411a80fb19d5264c67721480f43e33c,ATLAS-4785,Unknown
530d60f0c5e9cc902e1b94d6d7f9e80995f664c0,ATLAS-4785,Unknown
c3d654b695823768b1b253a855898ebe6e6268bc,ATLAS-4778,Unknown
949cebe70a1ef105b29e08456b87a25549ad2e2a,ATLAS-4785,Unknown
2452b42a47b84442f5c7eda54bedba725f61a7be,ATLAS-4784,Unknown
4155466c16eac8dee92c2c652068d1ac86f85e6a,ATLAS-4722,Unknown
878853f1e5a9be785cd66f0a0c560ccba1759d70,ATLAS-4781,Unknown
1443f25a46784dfa63892daa74744b19b5c2a71e,ATLAS-4746,Unknown
8d8169e83ac4acfb7b152594eac96ddbc9bb8437,ATLAS-4335,Unknown
990bbfc25c2b9e5a288827ea7f9a5e648b1122de,ATLAS-4779,Unknown
9f013a94999a191aca2e763e8eac9d48df1e0a0f,ATLAS-4770,Unknown
75eb33f0fb3ac7baf6547bdd35bd65acdea0d8f9,ATLAS-4757,Unknown
b7849aeb78856f2f8e205c5e784cee84409cbc72,ATLAS-4759,Unknown
ad24235f492066378842cb0c1fbf9bde43da0391,ATLAS-4658,Unknown
b19fba2ad96e3007af79d646ba17b6bd783d9156,ATLAS-4751,Unknown
b9ea823103bf4918e18fac64efd817818e1a6db8,ATLAS-4739,Unknown
d9d4e17ae5e0a85b571985af8733796782b41d0e,ATLAS-4687,Unknown
721e62524a69e1afb8484f00cbaed2d7f631a66e,ATLAS-4735,Unknown
205b975cceee0e642fbeb4d5e9d6ffe5620c001c,ATLAS-4733,Unknown
19dc92d604114095acab6e508ab967a93d0b533f,ATLAS-4744,Unknown
c2ef4e2c250ec548ea5d8f4fbbb4f17edbe3cb5b,ATLAS-4743,Unknown
7ab30522583167bb663b3ee7032a7b71a28025b5,ATLAS-4740,Unknown
92861ba9f3a12c7df364a8ae4c5ef378e9171424,ATLAS-4741,Unknown
b9ba02ef436c9b5b7fa1fddf61f159355aa4e1bf,patch-1,Unknown
89bfa02062b3f7391f345b00ccd7dcf5f29ab014,/,/
013c8623e919b9442b440df9a605be343632dc2b,ATLAS-4734,Unknown
c78f3cb1af4f5b15bbd092d45d0cb7b6cc763843,ATLAS-4736,Unknown
98900e3492c19d59c5cecbf8a440ae9f01578b31,ATLAS-4657,Unknown
2989e4c265c54eb5aa5cc3837e7742af578139eb,ATLAS-4728,Unknown
eff7880f4528b3eecf4940f62fbe515d933e836b,ATLAS-4576,Unknown
d1781a7c38e2da24cb023588dc91ef88b5cbb067,ATLAS-3756,Unknown
8c1b1430a1fe21c2dc8cf30c619f93411cdac628,ATLAS-4727,Unknown
bb656e41f90f278426068b571c92fe3bb772492f,ATLAS-4723,Unknown
3cf04368f292482a1dbe539bcabe28ae71ad4ca9,ATLAS-4721,Unknown
1943455c01fb405bc4795b5f5e29a0070ab2d3db,ATLAS-4719,Unknown
7a834be5e17aa1f914cdbc39b52193263d6f12d4,ATLAS-4720,Unknown
a48c147672b8a9312d9e9f299b2dd8d008a2beb1,ATLAS-4718,Unknown
35c17989b6792c5a1b70b4167d45512e3b6f0d6d,ATLAS-4695,Unknown
525b328071464312fa5a720d2f039b29f34aca4d,ATLAS-4715,Unknown
51a3dee7eaf039a5fa1324212efcc25be1761df0,ATLAS-4700,Unknown
70ae8c4742157a2ef07ba8fd187139523429a9cf,ATLAS-4714,Unknown
e51e16aa3c93a5443cb223666aa188b6d70a22f4,ATLAS-3403,Unknown
cf144656ebfdb6085581a6f16dfaafac1ba8a569,ATLAS-3468,Unknown
1ba7e6d66a6a02952930e5643f85824b09d8285c,ATLAS-4712,Unknown
d9a2c91aae5c6f0273da12b753a9c66b43c5e73e,ATLAS-4707,Unknown
fcbc016451ae1a1dc996fbafe677a8a8806d764f,ATLAS-3820,Unknown
7f9e980f6aee26523450fc40f7bfeb01a42842ab,ATLAS-4241,Unknown
4853487d9aa02a7121e4a01b39b6793819059aac,ATLAS-4713,Unknown
567ffb4089f9f024049ad88a56faf3783ddd9258,ATLAS-4445,Unknown
